episode_signature,episode_title,image_link
S21E10,Blue Winter,painting27.jpg
S21E11,Desert Glow,painting28.jpg
S21E12,Lone Mountain,painting29.jpg
S21E13,Florida's Glory,painting30.jpg
S22E1,Autumn Images,painting14.jpg
S22E2,Hint of Springtime,painting15.jpg
S22E3,Around the Bend,painting16.jpg
S22E4,Countryside Oval,painting4.jpg
S22E5,Russet Winter,painting5.jpg
S22E6,Purple Haze,painting6.jpg
S22E7,Dimensions,painting7.jpg
S22E8,Deep Wilderness Home,painting8.jpg
S22E9,Haven in the Valley,painting9.jpg
S22E10,Wintertime Blues,painting10.jpg
S22E11,Pastel Seascape,painting11.jpg
S22E12,Country Creek,painting12.jpg
S22E13,Silent Forest,painting13.jpg
S23E1,Frosty Winter Morn,painting295.jpg
S23E2,Forest Edge,painting296.jpg
S23E3,Mountain Ridge Lake,painting297.jpg
S23E4,Reflections of Gold,painting298.jpg
S23E5,Quiet Cove,painting299.jpg
S23E6,Rivers Peace,painting300.jpg
S23E7,At Dawn's Light,painting301.jpg
S23E8,Valley Waterfall,painting302.jpg
S23E9,Toward Days End,painting303.jpg
S23E10,Falls in the Glen,painting304.jpg
S23E11,Frozen Beauty in Vignette,painting305.jpg
S23E12,Crimson Tide,painting306.jpg
S23E13,Winter Bliss,painting307.jpg
S24E1,Gray Mountain,painting308.jpg
S24E2,Wayside Pond,painting309.jpg
S24E3,Teton Winter,painting310.jpg
S24E4,Little Home in the Meadow,painting311.jpg
S24E5,A Pretty Autumn Day,painting312.jpg
S24E6,Mirrored Images,painting313.jpg
S24E7,Back-Country Path,painting314.jpg
S24E8,Graceful Waterfall,painting315.jpg
S24E9,Icy Lake,painting316.jpg
S24E10,Rowboat on the Beach,painting317.jpg
S24E11,Portrait of Winter,painting318.jpg
S24E12,The Footbridge,painting319.jpg
S24E13,Snowbound Cabin,painting320.jpg
S25E1,Hide A Way Cove,painting321.jpg
S25E2,Enchanted Falls Oval,painting322.jpg
S25E3,Not Quite Spring,painting323.jpg
S25E4,Splashes of Autumn,painting324.jpg
S25E5,Summer in the Mountain,painting325.jpg
S25E6,Oriental Falls,painting326.jpg
S25E7,Autumn Palette,painting327.jpg
S25E8,Cypress Swamp,painting328.jpg
S25E9,Downstream View,painting329.jpg
S25E10,Just Before the Storm,painting330.jpg
S25E11,Fisherman's Paradise,painting331.jpg
S25E12,Desert Hues,painting332.jpg
S25E13,The Property Line,painting333.jpg
S26E1,In the Stillness of Morning,painting334.jpg
